"event_title","event_id","event_subtitle","event_type","event_desc","event_loc","event_start","event_end","exp_attendance","exp_participants","event_host","event_url","event_address","latitude","longitude"
"The Mercato Little Italy's Farmers' Market","51742","","FARMERS","The Little Italy Mercato is a Certified Farmers' Market filled with fruits and vegetables, herbs, flowers, eggs, cheese, pastured chicken and meat from more than forty California farmers. The Mercato also offers artisan foods and specialty items of all shapes and sizes. ","W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard ","2019-07-13 08:00:00","2019-07-13 14:00:00","2,500","400","Little Italy Association of San Diego ","www.littleitalymercato.com","Date & State Streets","",""
"San Diego LGBT Parade & Run & Stride with Pride 5K","52413","","PARADES","Participants in a 5K will be the focus of a large cheering crowd as they run and stride with pride. After the 5K, the crowd of spectators cheer on caravans of lavish floats and hundreds of colorful contingents in the most diversified parade. It's like no other parade!","University Ave./Centre St./University Ave./6th Ave./Upas St./Balboa Dr./Quince St./reverse route back to University Ave./Centre St.  ","2019-07-13 08:00:00","2019-07-13 15:00:00","","","San Diego LGBT Pride Inc.","www.sdpride.org","University Avenue & Centre Street","32.7495432","-117.0897648"
"World Championship OTL Tournament: Multi-day Event","51903","","ATHLETIC","This rough and tumble Over The Line sport is a form of softball played on sand. Over 1,300 three-person teams play in different age divisions. Crowds of people in beachwear gather to watch the games amid music and beer. The games are played on 50-mini courts over two consecutive weekends.","Fiesta Island in Mission Bay Park ","2019-07-13 07:00:00","2019-07-13 22:00:00","12,000/day","1,000/day","Old Mission Beach Athletic Club","www.ombac.org","1400 Fiesta Island Road ","32.7801728","-117.2220018"
"Mission Hills Summer Concerts","52356","","FESTIVAL","The Mission Hills Concerts in the Park is an annual event that occurs on Fridays in Pioneer Park. Bring your picnic baskets and catch up with neighbors and friends while you sing and dance to the music.","Pioneer Park","2019-07-12 18:00:00","2019-07-12 20:00:00","","","Mission Hills Town Council","","1521 Washington Place","32.7498157","-117.1772057"
"Point Loma Summer Concerts (Series)","52376","","FESTIVAL","Residents in Point Loma can have an enjoyable evening at a free outdoor concert. Youth bands will present their music first. Then, the professionals perform a variety of Motown, classic rock, and pop music.","Point Loma Park at 1049 Catalina Blvd. near Varona St.","2019-07-12 17:30:00","2019-07-12 20:30:00","","","Point Loma Summer Concerts ","www.plconcerts.org "," 1049 Catalina Blvd.","32.7245643","-117.2449633"
"Food Truck Fridays","52257","","FARMERS","On Friday evenings in June through September, visitors of all ages can enjoy live family friendly entertainment while eating gourmet treats from a rotating selection of more than a dozen food trucks parked on the Plaza de Panama and El Prado walkway.","Plaza de Panama and El Prado","2019-07-12 16:00:00","2019-07-12 20:30:00","","60","Parks & Recreation","www.sandiego.gov/event/food-truck-fridays","1450 El Prado","32.7316611885","-117.151808969"
"World Championship OTL Tournament: Multi-day Event","51902","","ATHLETIC","This rough and tumble Over The Line sport is a form of softball played on sand. Over 1,300 three-person teams play in different age divisions. Crowds of people in beachwear gather to watch the games amid music and beer. The games are played on 50-mini courts over two consecutive weekends.","Fiesta Island in Mission Bay Park ","2019-07-12 07:00:00","2019-07-12 22:00:00","12,000/day","1,000/day","Old Mission Beach Athletic Club","www.ombac.org","1400 Fiesta Island Road ","32.7801728","-117.2220018"
"North Park Thursday Market","51533","","FARMERS","This farmer's market in North Park offers locally grown vegetables, fruits, fresh flowers, eggs, artisan products, and craft vendors providing North Park residents and visitors with healthy foods in a family oriented community gathering place.","North Park Way between Granada Avenue and 30th Street ","2019-07-11 15:00:00","2019-07-11 19:00:00","900","70","North Park Main Street ","www.northparkmarket.com","North Park Way & Granada Avenue","32.7474111","-117.1277087"
"Ocean Beach Certified Farmer's Market (Wednesdays)","51483","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop! ","Newport Avenue between Bacon and Cable Streets ","2019-07-10 16:00:00","2019-07-10 20:00:00","1,200","125","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com","Newport Avenue & Bacon Stre","33.7284523","-117.8328371"
"Curbside Bites Food Truck Markets - Downtown Lunch","51963","","FARMERS","Every Wednesday, a caravan of food trucks are conveniently located in Little Italy to serve lunchtime meals. Each food truck has its own menu choices. Just pick out what it is that you like and it's quickly served. ","B Street between India & Columbia Streets. ","2019-07-10 11:00:00","2019-07-10 14:00:00","300","30","Curbside Bites ","www.curbsidebites.com","B Street & India Street","33.0477549","-117.2979035"
"Little Italy's Wednesday Farmers Market","51432","","FARMERS","The Little Italy's Wednesday Farmers Market is a Certified Farmers' Market filled with fruits and vegetables, herbs, flowers, eggs, cheese, pastured chicken and meat from more than forty California farmers. The market also offers artisan foods and specialty items of all shapes and sizes. Expected  ","Date Street between State Street and cul-de-sac west of Kettner Blvd.","2019-07-10 09:00:00","2019-07-10 14:00:00","1,200","80","Little Italy Association of San Diego ","www.littleitalymercato.com","Date & State Streets","",""
"Pacific Beach Tuesday Farmers' Market","51845","","FARMERS","This farmer's market offers locally grown vegetables, fruits, flowers, eggs plus artisan food and craft vendors, providing Pacific Beach residents and visitors healthy food in a family friendly gathering place. ","Bayard Street between Grand and Garnet Avenues ","2019-07-09 14:00:00","2019-07-09 19:00:00","800","60","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.7999983","-117.254587"
"Sunday Artisan Market","52095","","FARMERS","The Sunday Artisan Market provides space for local artisans, crafters, & retailers to display and sell their goods and services The market also provides a venue far local entertainers to perform and space for other community organizations to promote their activities.","5th Avenue between Market Street and J Street","2019-07-07 10:00:00","2019-07-07 15:00:00","","30","Gaslamp Quarter Association ","www.gaslamp.org","5th Avenue & Market Street ","",""
"Old Town Artisan's Market","51666","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street ","2019-07-07 09:00:00","2019-07-07 16:30:00","500","100","Old Town San Diego Chamber of Commerce ","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"2019 Hillcrest Farmers' Market (Sundays)","52045","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue, Harvey Milk between Normal and Cleveland Streets","2019-07-07 09:00:00","2019-07-07 14:00:00","4,000","400","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street ","32.748542300000004","-117.149901"
"Friducha Art Show","52407","","FESTIVAL","Over 50 artists will be showcasing original art pieces influenced by Frida Kahlo. All art will be available to purchase. You can purchase original Frida buttons, floral headpieces, coloring books, and limited edition t-shirts will be for sale. Compete in the Frida look-alike contest.","Sampson Street in Barrio Logan  ","2019-07-06 15:00:00","2019-07-06 22:00:00","","","Logan Avenue Consortium","","Sampson Street & Logan Avenue ","",""
"NPCA Bird Park Summer Concerts ","52272","","FESTIVAL","The concert series occurs in a community park setting where attendees can picnic, relax, get to meet and socialize with their neighbors spontaneously dance and listen to the music.","Bird Park east of Morley Field in Balboa Park","2019-07-06 15:00:00","2019-07-06 20:00:00","950","25","North Park Community Association","www.northparksd.org ","2705 Upas St","32.7408744","-117.1301472"
"City Heights Farmer's Market (Every Saturday)","51793","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop!","Wightman Street between 43rd Street and Fairmont Avenue ","2019-07-06 09:00:00","2019-07-06 13:00:00","500","100","San Diego County Farm Bureau ","www.sdfarmbureau.org","Wightman & 43rd Streets","32.7477532","-117.0999832"
"Old Town Artisan's Market","51665","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street ","2019-07-06 09:00:00","2019-07-06 16:30:00","500","100","Old Town San Diego Chamber of Commerce ","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"The Mercato Little Italy's Farmers' Market","51741","","FARMERS","The Little Italy Mercato is a Certified Farmers' Market filled with fruits and vegetables, herbs, flowers, eggs, cheese, pastured chicken and meat from more than forty California farmers. The Mercato also offers artisan foods and specialty items of all shapes and sizes. ","W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard ","2019-07-06 08:00:00","2019-07-06 14:00:00","2,500","400","Little Italy Association of San Diego ","www.littleitalymercato.com","Date & State Streets","",""
"Food Truck Fridays","52256","","FARMERS","On Friday evenings in June through September,  visitors of all ages can enjoy live family friendly entertainment while eating gourmet treats from a rotating selection of more than a dozen food trucks parked on the Plaza de Panama and El Prado walkway.","Plaza de Panama and El Prado","2019-07-05 16:00:00","2019-07-05 20:30:00","","60","Parks & Recreation","www.sandiego.gov/event/food-truck-fridays","1450 El Prado","32.7316611885","-117.151808969"
"Mira Mesa Community 4th of July Parade & Fun Days","52369","","FESTIVAL","In celebration of Independence Day, residents of Mira Mesa can have fun days with local bands, skateboarding, a puppet show, carnival games and rides, food, merchandise, a patriotic parade, and a fireworks show synchronized to music on KYXY Radio. Parade at 11:30 AM.","Family Fun Days at Mira Mesa Community Park at 8575 New Salem St. ~ Parade route is Green Ford Rd., Mira Mesa Blvd., Camino Ruiz, New Salem St. - Fireworks are launched from Mira Mesa High School at 10510 Reagan Rd  ","2019-07-04 11:00:00","2019-07-04 21:30:00","","","Mira Mesa Town Council ","www.miramesatowncouncil.org","8575 New Salem Street ","32.9151809","-117.1403084"
"Lake Murray 4th of July Fireworks & Music","52290","","FESTIVAL","San Diego Lake Murray Music Fest and Fireworks show happens on July 4th, 2019. The music fest is held at Lake Murray Community Park in San Carlos and the fireworks can be seen throughout the Navajo community, from La Mesa to Del Cerro and beyond. Come and enjoy!","Lake Murray Community Park  ","2019-07-04 11:00:00","2019-07-04 21:45:00","3,500","","Lake Murray Fireworks & Events Inc","www.lakemurrayfireworks.org","7051 Murray Park Drive","32.7925811","-117.0448245"
"Scripps Ranch 4th of July Parade","52291","","PARADES","The community of Scripps Ranch is celebrating Independence Day with a parade. School bands will play their music in a marching beat that sets the pace for community groups and other entries to follow. In addition, there will be a fun Ice Cream Social at Hoyt Park.","Ironwood Rd./Red Cedar Dr./Ironwood Rd./Courtyard Dr. - Red Rock Dr./Scripps Ranch Blvd./Hoyt Park  ","2019-07-04 10:00:00","2019-07-04 12:00:00","","400","Scripps Ranch Civic Association ","www.scrippsranch.org","Ironwood Rd. & Red Cedar Dr. ","",""
"RB Spirit of the Fourth (Festival & Parade)","52412","","FESTIVAL","In celebration of Independence Day, a patriotic festival is in full swing. Highlights include military displays, a veterans memorial, antique cars, food, art, games, a talent competition, and a parade.","Festival: Webb Park near Bernardo Center Dr. Parade: Acena Dr./Obispo Rd./Acena Dr./Rancho Bernardo Rd./Bernardo Center Dr./Lomica Dr.  ","2019-07-04 09:00:00","2019-07-04 16:30:00","","","Spirit of the Fourth, Inc. ","www.spiritofthefourth.org","Avena Pl & Bernardo Center Dr ","33.0166835","-117.0767329"
"Scripps Ranch Old Pros 10K/2-Mile Runs, Bike Rides","52281","","ATHLETIC","The event offers running and cycling options for different age and skill levels. You can choose between a 10K Road Race, 2-mile Fun Run, or a 12-mile bike ride, 28-mile bike ride, or a 50-mile bike ride. Proceeds benefit community athletic programs and scholarships for local high school students.","10K Run & 2-Mile Run: Red Cedar Dr. near Miramar Ranch School - Hoyt Park on Canyon Lake Dr. ~ Bike Rides 12-Mile, 28-Mile, 50-Mile: Hibert St - Scripps Ranch Blvd. - Hoyt Park on Canyon Lake Dr.  ","2019-07-04 07:00:00","2019-07-04 13:00:00","","","Scripps Ranch Old Pros, Inc. ","www.srop.org","10770 Red Cedar Dr","32.9094565","-117.0982513"
"4th Annual La Vuelta Summer Cruise Nights","52341","","FESTIVAL","The La Vuelta Summer Cruise Nights is a community lowrider cruise night series happening every other Wednesday during the summer months. Come enjoy the cars and community.","Logan Avenue between 26th Street and Evans Streets","2019-07-03 17:00:00","2019-07-03 19:00:00","500","80","Logan Avenue Consortium","","Logan Avenue & Evans Street","32.6970864","-117.11354509999998"
"Ocean Beach Certified Farmer's Market (Wednesdays)","51482","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop! ","Newport Avenue between Bacon and Cable Streets ","2019-07-03 16:00:00","2019-07-03 20:00:00","1,200","125","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com","Newport Avenue & Bacon Stre","33.7284523","-117.8328371"
"Curbside Bites Food Truck Markets - Downtown Lunch","51962","","FARMERS","Every Wednesday, a caravan of food trucks are conveniently located in Little Italy to serve lunchtime meals. Each food truck has its own menu choices. Just pick out what it is that you like and it's quickly served. ","B Street between India & Columbia Streets. ","2019-07-03 11:00:00","2019-07-03 14:00:00","300","30","Curbside Bites ","www.curbsidebites.com","B Street & India Street","33.0477549","-117.2979035"
"Little Italy's Wednesday Farmers Market","51431","","FARMERS","The Little Italy's Wednesday Farmers Market is a Certified Farmers' Market filled with fruits and vegetables, herbs, flowers, eggs, cheese, pastured chicken and meat from more than forty California farmers. The market also offers artisan foods and specialty items of all shapes and sizes. Expected  ","Date Street between State Street and cul-de-sac west of Kettner Blvd.","2019-07-03 09:00:00","2019-07-03 14:00:00","1,200","80","Little Italy Association of San Diego ","www.littleitalymercato.com","Date & State Streets","",""
"Pacific Beach Tuesday Farmers' Market","51844","","FARMERS","This farmer's market offers locally grown vegetables, fruits, flowers, eggs plus artisan food and craft vendors, providing Pacific Beach residents and visitors healthy food in a family friendly gathering place. ","Bayard Street between Grand and Garnet Avenues ","2019-07-02 14:00:00","2019-07-02 19:00:00","800","60","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.7999983","-117.254587"
"Meditative VIBES Fitness Festival","52434","","ATHLETIC","Yoga? HIIT? Meditation? Raw Food Workshop? Slip into something more soulful and mark your calendars for the VIBES Fitness Festival. This festival packs in 9 different forms of fitness, a community vendor market, and sponsored activations.","Preble Field at Liberty Station","2019-06-30 11:00:00","2019-06-30 21:00:00","","","Meditative VIBES","www.vibesfitnessfestival.com","2455 Cushing Road","32.7348786887","-117.213908106"
"Sunday Artisan Market","52094","","FARMERS","The Sunday Artisan Market provides space for local artisans, crafters, & retailers to display and sell their goods and services The market also provides a venue far local entertainers to perform and space for other community organizations to promote their activities.","5th Avenue between Market Street and J Street","2019-06-30 10:00:00","2019-06-30 15:00:00","","","Gaslamp Quarter Association ","www.gaslamp.org","5th Avenue & Market Street ","",""
"2019 Hillcrest Farmers' Market (Sundays)","52044","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue, Harvey Milk between Normal and Cleveland Streets","2019-06-30 09:00:00","2019-06-30 14:00:00","","","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street ","32.748542300000004","-117.149901"
"Old Town Artisan's Market","51664","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street ","2019-06-30 09:00:00","2019-06-30 16:30:00","","","Old Town San Diego Chamber of Commerce ","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"Old Town Artisan's Market","51663","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street ","2019-06-29 09:00:00","2019-06-29 16:30:00","","","Old Town San Diego Chamber of Commerce ","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"City Heights Farmer's Market (Every Saturday)","51792","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop!","Wightman Street between 43rd Street and Fairmont Avenue ","2019-06-29 09:00:00","2019-06-29 13:00:00","","","San Diego County Farm Bureau ","www.sdfarmbureau.org","Wightman & 43rd Streets","32.7477532","-117.0999832"
"The Mercato Little Italy's Farmers' Market","51740","","FARMERS","The Little Italy Mercato is a Certified Farmers' Market filled with fruits and vegetables, herbs, flowers, eggs, cheese, pastured chicken and meat from more than forty California farmers. The Mercato also offers artisan foods and specialty items of all shapes and sizes. ","W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard ","2019-06-29 08:00:00","2019-06-29 14:00:00","","","Little Italy Association of San Diego ","www.littleitalymercato.com","Date & State Streets","",""
"Lincoln Military Housing ""Cause We Can"" 5K ","52363","","ATHLETIC","This family 5K run/walk and Expo is designed for the military families living in Lincoln Military Housing. The event promotes health and fitness within the military families and gives the families a chance to give back to the local San Diego community. ","NTC Park at Liberty Station","2019-06-29 06:00:00","2019-06-29 10:30:00","","","San Diego Family Housing, LLC","","2455 Cushing Road","32.7348786887","-117.213908106"
"Mission Hills Summer Concerts","52355","","FESTIVAL","The Mission Hills Concerts in the Park is an annual event that occurs on Fridays in Pioneer Park. Bring your picnic baskets and catch up with neighbors and friends while you sing and dance to the music.","Pioneer Park","2019-06-28 18:00:00","2019-06-28 20:00:00","","","Mission Hills Town Council","","1521 Washington Place","32.7498157","-117.1772057"
"Food Truck Fridays","52255","","FARMERS","On Friday evenings in June through September, visitors of all ages can enjoy live family friendly entertainment while eating gourmet treats from a rotating selection of more than a dozen food trucks parked on the Plaza de Panama and El Prado walkway.","Plaza de Panama and El Prado","2019-06-28 16:00:00","2019-06-28 20:30:00","","","Parks & Recreation","www.sandiego.gov/event/food-truck-fridays","1450 El Prado","32.7316611885","-117.151808969"
"North Park Thursday Market","51532","","FARMERS","This farmer's market in North Park offers locally grown vegetables, fruits, fresh flowers, eggs, artisan products, and craft vendors providing North Park residents and visitors with healthy foods in a family oriented community gathering place.","North Park Way between Granada Avenue and 30th Street ","2019-06-27 15:00:00","2019-06-27 19:00:00","","","North Park Main Street ","www.northparkmarket.com","North Park Way & Granada Avenue","32.7474111","-117.1277087"
"Ocean Beach Certified Farmer's Market (Wednesdays)","51481","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop! ","Newport Avenue between Bacon and Cable Streets ","2019-06-26 16:00:00","2019-06-26 20:00:00","","","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com","Newport Avenue & Bacon Stre","33.7284523","-117.8328371"
"Curbside Bites Food Truck Markets - Downtown Lunch","51961","","FARMERS","Every Wednesday, a caravan of food trucks are conveniently located in Little Italy to serve lunchtime meals. Each food truck has its own menu choices. Just pick out what it is that you like and it's quickly served. ","B Street between India & Columbia Streets. ","2019-06-26 11:00:00","2019-06-26 14:00:00","","","Curbside Bites ","www.curbsidebites.com","B Street & India Street","33.0477549","-117.2979035"
"Little Italy's Wednesday Farmers Market","51430","","FARMERS","The Little Italy's Wednesday Farmers Market is a Certified Farmers' Market filled with fruits and vegetables, herbs, flowers, eggs, cheese, pastured chicken and meat from more than forty California farmers. The market also offers artisan foods and specialty items of all shapes and sizes. Expected  ","Date Street between State Street and cul-de-sac west of Kettner Blvd.","2019-06-26 09:00:00","2019-06-26 14:00:00","","","Little Italy Association of San Diego ","www.littleitalymercato.com","Date & State Streets","",""
"Pacific Beach Tuesday Farmers' Market","51843","","FARMERS","This farmer's market offers locally grown vegetables, fruits, flowers, eggs plus artisan food and craft vendors, providing Pacific Beach residents and visitors healthy food in a family friendly gathering place. ","Bayard Street between Grand and Garnet Avenues ","2019-06-25 14:00:00","2019-06-25 19:00:00","","","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.7999983","-117.254587"
"1st Annual Scoop San Diego Ice Cream Festival","52362","","FESTIVAL","Come enjoy the 1st annual ice cream festival celebrating the evolving craft ice cream and gelato scene in San Diego. The proceeds from this year’s festival will benefit Monarch School in Barrio Logan for homeless youth. ","North Park Way between Granada Avenue and 30th Street","2019-06-23 11:00:00","2019-06-23 16:00:00","","","Scoop San Diego","","North Park Way and Granada Avenue ","32.7473551","-117.13190359999999"
"Sunday Artisan Market","52093","","FARMERS","The Sunday Artisan Market provides space for local artisans, crafters, & retailers to display and sell their goods and services The market also provides a venue far local entertainers to perform and space for other community organizations to promote their activities.","5th Avenue between Market Street and J Street","2019-06-23 10:00:00","2019-06-23 15:00:00","","","Gaslamp Quarter Association ","www.gaslamp.org","5th Avenue & Market Street ","",""
"Old Town Artisan's Market","51662","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street ","2019-06-23 09:00:00","2019-06-23 16:30:00","","","Old Town San Diego Chamber of Commerce ","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"2019 Hillcrest Farmers' Market (Sundays)","52043","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue, Harvey Milk between Normal and Cleveland Streets","2019-06-23 09:00:00","2019-06-23 14:00:00","","","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street ","32.748542300000004","-117.149901"
"CA Firefighters' Summer Games Stickball Event","52271","","ATHLETIC","The game of stickball is played on neighborhood streets where opposing teams use sticks to maneuver a ball to opposite sites to score for points. Come and watch the firefighter teams battle for stickball glory! ","Columbia Street between Cedar and Beech Streets","2019-06-23 08:30:00","2019-06-23 16:00:00","","","CA Firefigher Olympics","www.cfaa.org","Columbia Street & Cedar Street ","",""
"Father Joe's San Diego International Triathlon","52270","","ATHLETIC","Top elite and professional athletes will compete for over $7,000 in prize money. The International Course consists of a 1,000-meter swim, 30K cycle, and a 10K run. The Sprint course consists of a 500-meter swim, 20K cycle, and a 6-mile run. A sports-related expo accompanies the event. ","Swim: Harbor Island Marina ~ Bike: Spanish Landing Park-Harbor Dr.-Scott St.-Avenue De Portugal-Locust St.-Canon St.-Catalina Blvd.-Cabrillo Memorial Dr.-Spanish Landing Park ~ Run: Spanish Landing Park-Harbor Island Dr.-Car Rental Rd.-Harbor Dr.-walkway-Embarcadero Marina Park  ","2019-06-23 06:00:00","2019-06-23 12:00:00","","","St. Vincent De Paul Village","www.kozenterprises.com","3900 N Harbor Dr ","32.7289206","-117.2049695"
"Hess Fest - Hess Brewing Anniversary Party","52269","","FESTIVAL","Amid rock music, Hess Fest is offering samplings of locally brewed beer and tastings from gourmet eateries. Ibis event is a fundraiser for the San Diego Music Foundation, YMCA of San Diego County, and Navy Seal Foundation.","Grim Avenue between University Ave. & North Park Way  ","2019-06-22 11:30:00","2019-06-22 17:00:00","","","San Diego Music Foundation","www.mikehessbrewing.com","3812 Grim Avenue ","32.7477013","-117.1285406"
"40th OB Street Fair & Chili Cook-off Festival","52246","","FESTIVAL","This beachside festival has it all! Just follow the aroma of hot chili and the sounds of rock, blues, and jazz. Nestled along Antique Row, the streets are lined with booths of food, art, and merchandise. There are games, rides, and raffles. Be sure to watch the super chili cook-off contest. ","Newport Ave. between Sunset Cliffs Blvd. & Abbott St. ~ Abbott St. between Newport & Santa Monica Aves. ~ Bacon St. between Santa Monica & Niagara Aves. ~ Cable St. between Santa Monica & Niagara Aves. ~ Veterans Plaza ~ Lifeguard Tower parking lot  ","2019-06-22 10:00:00","2019-06-22 20:00:00","","","Ocean Beach MainStreet Association ","www.oceanbeachsandiego.com","Newport Avenue & Sunset Cliffs Boulevard ","32.7462615","-117.2505991"
"Mass Creativity Day","52278","","FESTIVAL","Mass Creativity Day demonstrates the power of the arts to foster creativity and communication across generational, cultural, and geographical boundaries. It's an all-day, all-age playday with hands-on workshops.","West Island Avenue between Front St. & Union St., and the park across the street from the New Children's Museum  ","2019-06-22 09:00:00","2019-06-22 16:00:00","","","The New Children's Museum ","www.thinkplaycreate.org","200 W. Island Avenue ","32.7106557","-117.1649851"
"City Heights Farmer's Market (Every Saturday)","51791","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop!","Wightman Street between 43rd Street and Fairmont Avenue ","2019-06-22 09:00:00","2019-06-22 13:00:00","","","San Diego County Farm Bureau ","www.sdfarmbureau.org","Wightman & 43rd Streets","32.7477532","-117.0999832"
"Old Town Artisan's Market","51661","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street ","2019-06-22 09:00:00","2019-06-22 16:30:00","","","Old Town San Diego Chamber of Commerce ","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"The Mercato Little Italy's Farmers' Market","51739","","FARMERS","The Little Italy Mercato is a Certified Farmers' Market filled with fruits and vegetables, herbs, flowers, eggs, cheese, pastured chicken and meat from more than forty California farmers. The Mercato also offers artisan foods and specialty items of all shapes and sizes. ","W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard ","2019-06-22 08:00:00","2019-06-22 14:00:00","","","Little Italy Association of San Diego ","www.littleitalymercato.com","Date & State Streets","",""
"2019 Kai Elua Outrigger Canoe Iron Championships","52245","","ATHLETIC","This is a long-distance canoe race for members of the Southern California Outrigger Racing Association and affiliated clubs within SCORA. There will also be guests from Northern CA, other U.S. States, and Canada. Onshore, a dance competition is happening in the midst of festivities.","Mariner's Point on western side of Mission Bay Park  ","2019-06-22 07:00:00","2019-06-22 17:00:00","","","Kai Elua Outrigger Canoe Club","www.kailuaoutrigger.com","1100 West Mission Bay Drive ","32.7716554","-117.24941470000002"
"Mission Hills Summer Concerts","52354","","FESTIVAL","The Mission Hills Concerts in the Park is an annual event that occurs on Fridays in Pioneer Park. Bring your picnic baskets and catch up with neighbors and friends while you sing and dance to the music.","Pioneer Park","2019-06-21 18:00:00","2019-06-21 20:00:00","","","Mission Hills Town Council","","1521 Washington Place","32.7498157","-117.1772057"
"Food Truck Fridays","52254","","FARMERS","On Friday evenings in June through September, visitors of all ages can enjoy live family friendly entertainment while eating gourmet treats from a rotating selection of more than a dozen food trucks parked on the Plaza de Panama and El Prado walkway.","Plaza de Panama and El Prado","2019-06-21 16:00:00","2019-06-21 20:30:00","","","Parks & Recreation","www.sandiego.gov/event/food-truck-fridays","1450 El Prado","32.7316611885","-117.151808969"
"North Park Thursday Market","51531","","FARMERS","This farmer's market in North Park offers locally grown vegetables, fruits, fresh flowers, eggs, artisan products, and craft vendors providing North Park residents and visitors with healthy foods in a family oriented community gathering place.","North Park Way between Granada Avenue and 30th Street ","2019-06-20 15:00:00","2019-06-20 19:00:00","","","North Park Main Street ","www.northparkmarket.com","North Park Way & Granada Avenue","32.7474111","-117.1277087"
"4th Annual La Vuelta Summer Cruise Nights","52340","","FESTIVAL","The La Vuelta Summer Cruise Nights is a community lowrider cruise night series happening every other Wednesday during the summer months. Come enjoy the cars and community.","Logan Avenue between 26th Street and Evans Streets","2019-06-19 17:00:00","2019-06-19 19:00:00","","","Logan Avenue Consortium","","Logan Avenue & Evans Street","32.6970864","-117.11354509999998"
